n,Algorithm A (ns),Algorithm B (ns)
555,6600,9091800
556,6200,7998700
557,6100,8348200
558,6300,7683300
559,6000,9137000
560,6300,7583200
561,12700,8830000
562,6400,8368600
563,6200,9625400
564,27400,7718200
565,5900,9304000
566,6300,8064600
567,6500,8528500
568,7100,9040800
569,6600,9471100
570,6600,9513100
571,6100,8451100
572,6400,9292600
573,6200,7608600
574,6200,8549200
575,8600,7473600
576,6000,9746200
577,6200,7689400
578,6100,8616900
579,6000,7643700
580,11800,10211900
581,6100,7630200
582,6300,10606200
583,6400,8988700
584,6400,8468300
585,6000,8947100
586,8600,13657500
587,7100,11909900
588,12200,9662500
589,6200,7893100
590,6100,7797900
591,12800,7880100
592,6200,8975300
593,6200,10017500
594,6700,10796300
595,30000,9183700
596,6200,7850700
597,6100,9061100
598,6600,8351900
599,6100,9128700
600,6200,7612900
601,5900,10021000
602,12600,7566700
603,6300,13992700
604,6400,10530700
605,6200,7849400
606,13300,9673000
607,6300,8574200
608,7300,9260400
609,6500,8586700
610,13000,8308400
611,12200,10212800
612,6300,7565400
613,21400,8640800
614,6100,7923400
615,6900,9798000
616,23800,7774500
617,6100,13084700
618,19400,9492200
619,12400,8098800
620,6600,8887200
621,6200,8186500
622,6100,8836000
623,6100,7681000
624,6100,7909300
625,6200,8628800
626,6200,8658800
627,6300,7923100
628,6800,12906300
629,6400,9083600
630,6300,9690200
631,12300,9362100
632,7800,7450900
633,21000,9110900
634,6100,7475000
635,6400,9343100
636,6000,7712800
637,6000,9406800
638,13400,12252200
639,7100,8835900
640,6400,7892300
641,6100,8067600
642,12200,8617500
643,6100,7711500
644,5900,9027300
645,6000,7919600
646,5900,9125700
647,6200,7659100
648,6200,8346500
649,6100,8947400
650,6200,7950800
651,6100,7429500
652,6700,9611600
653,6200,7932300
654,7300,10040900
655,6200,8160200
656,6200,7919400
657,6100,7938000
658,6300,8206500
659,6100,9392600
660,6300,8040700
661,6100,8935100
662,6100,7563100
663,5900,10813800
664,6100,7520200
665,6000,8599000
666,6100,9081800
667,6600,8747700
668,27600,9154800
669,6200,8204000
670,48100,11749400
671,7200,12265200
672,6400,8797800
673,6200,7822900
674,6200,8065200
675,7300,8383600
676,6700,8362900
677,27500,9091900
678,7000,8383300
679,6200,9961400
680,6200,7668800
681,5900,8619600
682,12200,7327100
683,6000,9857700
684,6100,7325600
685,5900,9268100
686,6100,8494900
687,6500,8235600
688,6100,8234500
689,6200,7960100
690,12300,8313100
691,7100,8868700
692,6400,8382100
693,13000,8137200
694,6100,9079000
695,6200,7959900
696,6500,7966300
697,6200,8258600
698,6100,8873300
699,21800,8052000
700,6300,8589300
701,6600,8785700
702,6600,14901400
703,6600,14498100
704,6700,13990400
705,6400,8088400
706,6300,9017600
707,7100,9116400
708,7700,8887700
709,6600,9229300
710,6500,8182400
711,6500,8695000
712,6500,8210300
713,6400,10642600
714,6300,8499900
715,6400,8168000
716,12800,10166000
717,8900,8861100
718,6300,8281000
719,6700,12040100
720,6900,8171900
721,6200,8310500
722,6300,9371500
723,9700,8756200
724,6300,9026500
725,12900,8028500
726,6500,8698000
727,6500,7986400
728,21600,7999400
729,6400,7736900
730,6800,8634000
731,6200,8734700
732,7000,8122400
733,6600,8820700
734,6400,8124800
735,6200,8435800
736,7300,7997200
737,6000,8971500
738,6800,7880700
739,25900,8304400
740,6000,7865800
741,5800,9941500
742,27700,7838400
743,6500,8230900
744,6000,8522900
745,26400,9743700
746,6200,7664100
747,6200,8680000
748,6200,8232600
749,6600,8769800
750,5900,8453500
751,6300,8187500
752,7200,8901500
753,8300,8899800
754,6300,8955000
755,6400,7945200
756,6000,8163100
757,21400,7819600
758,5900,8797100
759,6000,7697900
760,21200,9566300
761,7300,7658700
762,6000,9433500
763,32200,7665700
764,6000,8715500
765,6000,7441100
766,11800,9150100
767,6500,7655400
768,11800,9736900
769,6200,7523200
770,6500,8900400
771,6200,7615200
772,18200,8946800
773,6200,7748900
774,6200,8847200
775,6100,7931900
776,6300,7538100
777,5800,8287600
778,6900,8655300
779,6100,7576100
780,6400,8490100
781,6100,7908000
782,16700,8301300
783,6000,7748900
784,6700,8331900
785,27800,9310400
786,6900,8775600
787,26300,8930600
788,6300,10840800
789,6200,8819300
790,6200,8037000
791,6000,9209700
792,6500,8241200
793,6500,8249600
794,6000,7773100
795,6100,10104000
796,6100,8411600
797,6200,8496700
798,6400,7816800
799,6200,8998800
800,13200,8674100
801,6800,8112000
802,6200,8659300
803,15700,8427800
804,6000,8654700
805,6300,7477700
806,6000,8806600
807,6200,7729100
808,6100,9751600
809,6100,7525300
810,6000,9160300
811,6200,7680200
812,13000,9026000
813,6200,7967100
814,6500,8449600
815,12400,7999100
816,6300,9454300
817,6200,11826100
818,6600,8195200
819,6400,9246600
820,6700,8448100
821,6100,8835600
822,6200,8076100
823,12300,8917300
824,6200,12273200
825,6300,9835500
826,6100,8882500
827,6200,14349000
828,6300,11127700
829,6400,9092000
830,6300,7655400
831,6300,8565700
832,6300,7738400
833,6300,10988900
834,6300,12191100
835,6200,7463500
836,6100,9416700
837,6200,7491400
838,6100,9512500
839,6400,7756600
840,6200,13441100
841,6300,9786500
842,6200,8042600
843,6700,9598900
844,6600,7945500
845,6500,8674600
846,6500,8967900
847,7100,8687500
848,6600,8307400
849,6400,8140200
850,12600,9740100
851,22000,8153200
852,6500,8559500
853,6100,8770300
854,13700,8859500
855,6100,8032100
856,6200,8735100
857,6800,8404200
858,6200,9261100
859,6200,8303800
860,6600,10136200
861,6400,10766200
862,7100,7667900
863,12000,9059400
864,6300,7430900
865,6000,9297100
866,5900,7678600
867,5900,9190900
868,6000,7550000
869,6000,9495800
870,6500,12303900
871,6400,9035600
872,6700,11967700
873,6400,8405600
874,6700,9550700
875,6400,9292100
876,21600,7545500
877,7000,9448100
878,6000,8056200
879,12200,8573200
880,6200,8200300
881,6100,8490800
882,6200,8549700
883,12500,8526000
884,12400,9718400
885,6200,8967700
886,6400,7542500
887,5800,10685100
888,6200,8398300
889,28800,8898400
890,6200,8387800
891,6500,8204600
892,6700,8780600
893,6200,8057600
894,6200,9286700
895,12300,7745200
896,12200,8750500
897,21900,7973500
898,6200,9671200
899,16600,9307600
900,6900,8908800
901,6700,10827600
902,6600,9016500
903,6400,8521000
904,6200,8287900
905,29000,7703400
906,6100,7609000
907,5900,9609400
908,6100,9037300
909,38100,8756400
910,7100,8159800
911,12400,8663300
912,6100,8317400
913,6400,8222000
914,6300,8916000
915,6600,8474400
916,12100,8728100
917,6200,8305600
918,5900,8600600
919,6400,7905900
920,6100,9126200
921,6100,7754700
922,6100,9609300
923,12300,7824100
924,6100,8915600
925,6200,7777700
926,6400,9044100
927,23700,8475900
928,6400,7935500
929,6000,8667900
930,7000,8003100
931,6200,9129600
932,6800,8677500
933,12300,9740300
934,12400,7698900
935,6000,8760600
936,6100,7799200
937,6200,9094600
938,6200,8001100
939,6000,8756600
940,6500,8187000
941,12700,8515700
942,17700,8152300
943,6400,8094300
944,6400,12897700
945,6300,9685500
946,6500,8437600
947,6400,10036900
948,6500,10012200
949,12700,7969400
950,6900,10420800
951,6400,9757700
952,6500,8050500
953,6400,9420800
954,6700,8484200
955,6200,8814300
956,6600,8323900
957,6400,9066000
958,7500,8038500
959,6500,8628200
960,6200,8387000
961,6900,7747200
962,6300,8356100
963,13200,8384200
964,12300,8840700
965,12200,7593800
966,5800,8929600
967,6100,7618000
968,5800,9800000
969,6200,7471300
970,5900,9305400
971,6100,8383800
972,12300,8405600
973,6100,7892500
974,10500,8944900
975,6200,7790600
976,14700,8641900
977,12200,8643900
978,6200,8872300
979,7900,7847500
980,6100,8930000
981,9000,7623400
982,5900,8995200
983,6100,7434200
984,5900,9363000
985,6100,7596900
986,6200,9211200
987,6500,8329800
988,5900,7797700
989,12000,8261600
990,8200,8887900
991,6100,8572400
992,6300,7540400
993,5900,8677600
994,26300,7713700
995,6000,8364300
996,6900,7524100
997,6100,9010400
998,6200,7582400
999,6700,8916600
1000,6400,8043800
1001,6500,8062000
1002,6100,8050200
1003,26200,10366500
1004,6300,8344400
1005,6200,9151900
1006,6200,7504000
1007,6000,9068500
1008,6100,7490900
1009,6000,9479600
1010,6200,7838700
1011,6100,8704700
1012,6100,7927000
1013,6100,8250300
1014,7500,7545700
1015,7300,7935400
1016,6300,7629600
1017,6900,7935200
1018,6200,7594600
1019,24800,8799300
1020,6200,9963400
1021,6700,8232600
1022,6200,9209100
1023,12500,7669500
1024,12000,11826200
1025,6900,10909100
1026,6800,11240300
1027,7200,9251300
1028,6400,8640600
1029,8500,8879700
1030,6400,12297500
1031,6500,10450900
1032,6300,8989900
1033,12500,7940900
1034,6400,10146300
1035,6200,7714000
1036,7100,8890400
1037,6200,7892600
